1226k  110.178.52.91:8084
1211k  110.178.52.75:8084
1210k  110.178.52.75:8082
1199k  110.178.52.111:8084
1195k  110.178.52.111:8082
1161k  110.178.52.91:8083
1151k  113.26.167.187:8082
1151k  110.178.52.111:8083
1134k  110.178.52.75:8083
1098k  113.26.167.187:8084
1094k  113.26.167.187:8083
1091k  110.178.52.111:8085
1074k  223.10.28.220:8083
1061k  110.179.81.13:8082
1060k  223.10.28.220:8082
1057k  113.26.166.90:8082
1048k  113.26.166.90:8083
1041k  110.178.52.75:8085
1033k  110.179.81.13:8084
1031k  223.10.63.66:8082
1028k  223.10.63.66:8083
1025k  110.178.52.91:8085
1023k  223.10.28.220:8084
1020k  110.179.81.13:8083
821k  110.178.38.156:8082
810k  110.178.38.156:8083
